id,user_id,text_id,start_offset,end_offset,path,phrase,tagset_id,tag_id
73291,4,VC47-D_7A0466F8-D266-4D61-B5A4-47382864F84E,40,51,מטפוריקה/מטפורה,טענו בארצנו,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
73292,4,VC47-D_7A0466F8-D266-4D61-B5A4-47382864F84E,180,197,מטפוריקה/מטפורה,תלביש ישע לערומיו,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
73293,4,VC47-D_7A0466F8-D266-4D61-B5A4-47382864F84E,20,29,מטפוריקה/מטפורה,טובך אחזה,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
73294,4,VC47-D_7A0466F8-D266-4D61-B5A4-47382864F84E,0,10,כינוי/כינוי ציורי,טהור עינים,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_0C70F8A9-4166-4AB9-A04F-35BA23723A1E
73295,4,VC47-D_7A0466F8-D266-4D61-B5A4-47382864F84E,130,136,כינוי/כינוי ציורי,איוויך,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_0C70F8A9-4166-4AB9-A04F-35BA23723A1E
73296,4,VC47-D_7A0466F8-D266-4D61-B5A4-47382864F84E,216,221,כינוי/כינוי פשט,בביתך,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_0E667FDA-7960-46E3-B3FE-AC661D569246
73297,4,VC47-D_7A0466F8-D266-4D61-B5A4-47382864F84E,163,178,מטפוריקה/מטפורה,נשור בטוב טעמיו,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
73298,4,VC47-D_338656DD-E6C3-45EB-99AA-65FD3EFC6823,6,21,מטפוריקה/מטפורה,במאזני צדק חותן,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
73299,4,VC47-D_338656DD-E6C3-45EB-99AA-65FD3EFC6823,106,121,מטפוריקה/מטפורה,זר שמחה להעטותן,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
73300,4,VC47-D_338656DD-E6C3-45EB-99AA-65FD3EFC6823,176,193,מטפוריקה/מטפורה,חן וחסד ילביש עמו,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
73301,4,VC47-D_338656DD-E6C3-45EB-99AA-65FD3EFC6823,234,251,מטפוריקה/מטפורה,בטוב נפשכם להשביע,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
73302,4,VC47-D_338656DD-E6C3-45EB-99AA-65FD3EFC6823,627,637,מטפוריקה/מטפורה,אמרה צרופה,VC47-T_F8901835-049E-4A88-AA83-F4D25746F5F0,VC47-CATMA_2AB54B2D-9D10-4B5D-9E15-4A40CF3E710C
