id,name,user_id,corpus_id,genre_id,fulltext,length
VC47-D_E81F7C16-88AE-48EB-BBE8-F42ECC83F172,אנא ועד לנו חוק,4,47,41,"אנא ועד לנו חוק קץ הימין
ושמחה קרובה לנו תזמין
ועון ופשע במצול תטמין
ולא אלמן נדע ונאמין
וצרינו תשמיל ואותנו תימין
ונשור בעתו משמר מימין

מימין יודפת העת תחזו במאוויכם
ובכוהניכם יחתלכם
משמרת השישית העת יודיע אתכם
ויאמר לקהלכם כי שלום אמת אתן לכם
",246
VC47-D_76B35C5E-FB15-4044-8E42-ACC09803DFAD,אחד לחודש ציר בט,4,47,41,"אחד לחודש ציר בט
ברכות ותוכחות לעמו צבט
שבט גשמו בזעף אל יחבט
דגול מלרדותי בשבט שבט
 
הוא חודש שלם בגדלי
וביום קידושו כיפור בהגדילי
שבט זכות יכריע מארבע להדלי
חזיז גשם להרעיף מדלי

טרחו בגנון אל ישסף
ירננו עצי היער להכסף
שבט כי בו עץ לחלוח אוסף
להשריש להעניף בעדות ביהוסף

מקודש החודש בעם להגיהם
ניתן ראש שנת אילן להאיר נגהם
שבט סגרירו אל נא יבלהם
עץ ופרי להצחות בשוהם

פצח צום בני בנימין בשבעה בו
צום רעש שביעי בעשרים ושלושה בו
שבט קדשתי כבט אל בו
רעדה הארץ מהבטת שביבו

שדי רועי לא אחסר
שוכן עד תשועתך נבושר
שבט תחדש טפסרי ללמדי מוסר
תחיש נאמן ביאר דת בעשתי עשר
",564
VC47-D_D2B6A627-004F-4979-AFFF-4696EB2DD7A9,אפאר לזה אלי,4,47,41,"אפאר לזה אלי ואנווהו
בניחומי אבלים בבית נוויהו
ואמר ביום ההוא

גלה שכינתך אלי זה
דביר הודך נחזה
הנה אלהינו זה

הוד והדר פעלו
וצדקתו עומדת למחכה לו
זה ייי קוינו לו

פלושים נצח לנחם
חיש לעמך מנחם
שרתי תנחם קדוש
",209
VC47-D_1E8CA007-41BC-4CD3-9D16-13AB82770B23,‎⁨בראשית ברא אלוהים⁩,4,47,41,"בראשית ברא אלוהים
ארק ודוק עש אלוהים
באחד פעלו יידע אלוהים
ענות מגיני על אלוהים

והארץ היתה תוהו
במאמרו רצף עלי בוהו
באחד יסד שתייה לנאווהו
להטליל פץ ראו עתה כי אני אני הוא

ויאמר אלוהים יהי אור
גה ממלבושו שלש אור
באחד נר מצוה ותורה אור
שיחקה להקדיש לעושה האור

וירא אלוהים את האור כי טוב
מטוב
באחד האיר אל טוב
להודות ליי כי טוב

ויקרא אלוהים לאור יום
ערב ובוקר תחילת יום
באחד שם גבול ליום
",390
VC47-D_1DEB9A60-34B5-4FF7-94FE-4C958C95B515,אהבה במשוש הותאמה,4,47,41,"אהבה במשוש התאמה
במרגוע וגיל ענייה סוימה
גן נעול כלתי חתומה
דיצת טובים השנים גלומה

הלא כעזר אחים קוימה
ובחסד ואמת רושמה
זיו שלוש אותות הורקמה
חודש ושבת ענייה הונעמה

טכס שעריה בספיר להקימה
ידידות משכנותיה לרוממה
כלילת יופי תיקרא רוחמה
לבשר כן עניה סוערה לא נוחמה

צבאות שוב נא
היות לנו למשענה
החזק מגן וצינה
בצדק נם יוקח נא

מוכנה השמחה בפינותייך
נהג שלוה בארמנותייך
שמחה וגיל במשכנותייך
עוז שבת וחודש קדושותייך

פרח מכהן מבשר ישועותייך
צדק ושלום נשיקותייך
קירבתי מארבע נפוצותייך
רוני בקיבוץ בנייך ובנותייך

שבת תענוג שבותיך
שינון חודש דתותייך
תמיד נתמנו שרות מניקותיך
תרתי לבנות כדכוד שמשותייך

בארמנותייך שלוה
בקהילותייך חיבה
וכולם יחיו בטללי נדבה
בצדק אב מבוא בא

פתח הגדול
לחדול
נהג קולו לגדול
חזיון סודו לא ידול

בקרקע נשייה
יופי שער בעלייה
רישום עשרה קולות נחויה
בכן ישמעו מירחו לשעיה

ידידות אנשי משמר
עיטור פתח יאמר
קץ שבת וחודש יוגמר
בטעם כה אמר

אהבה כפולה בשבת וחודש מגולה
ובעניין ענייה אהולה ובנועם גילה
אדירה ומכוללה שבת בצהלה
וחודש בעלילה בשילוש חתולה
ולרקמות מובלה בתואם גדולה
זאת סורה וגולה חיש לה תעלה
לרפאת מחלה ולהסיר כסלה
ולהחיש רטייה לכלה להרביץ
תחלה יושת לגדולה

אז שבת בחרת מימות עולם
וחודש היכנת לתיקון עולם

בתת רטייה לטרייה הבנת להכינה
היות לענייה רפאות ותקנה

גם רשויות ארבע הוזמנו בשבת
שתים לפטור ושתים לחיוב כמשיבת

דרישת החודש עיבורו בחלקים
במניין כמוסים ובאצבע חקוקים

הסוערה לנחם בנחמות כפולות
ועד יקבי המלך להשיתנה לגאולות

ועד מגדל שחננו אל
ועד צופה פני דמשק כהואל

זוהר הלכות שבת באמירה
כהררים תלויים בשערה

חודש תקנתו על פי עניינו
בשמוע מקודש החודש בזמנו

טוהר שבת מסיני כנמסרה
אילו זכו עם כהוגן לשמרה

יופי החודש בקדושה חמורה
זאת לנחם בענייה סוערה

אחים חוברו להנעים
בשען 
ברינת פתיגיל אחים ורעים
הנה מה טוב ומה נעים

גודל שניהם מלהסר
ושמחתם איך תתייסר
דיצת איווים בעיסור להמסר
הנה על ההרים רגלי מבשר

האחו בתאם בחיבה
חזותם
ושולשו כחוט בגזרה שווה
הנה יום יי בא

זוהר שלשתן שומעו בדתו
במקרא
חוברה לסוערה בתכונתו
הנה שכרו איתו

טכס ברכת ליבובו
טעם מתוק
ישועה בבשרו לגוי אהובו
הנה יי אלהים בחזק יבוא

כלולים בחדוות עלץ
כגון שלשה ושבעה
לתשועת ענווה במרץ
הנה יי השמיע אל קצה הארץ

מהרה השמחה מתוך אהבה
בנופת צופים לתקווה
לבשורת נאווה
הנה כבוד אלוהי ישראל בא

הקשיב לחווה
סבותי מצות שבת לנווה
עיבור חודש האזין לרווה
הנה יי מצווה

פתחים ומזוזות באולמו
יכונן למסלדי נעמו
צוהר עוז בהקימו
הנה יי יוצא ממקומו

קבוצים בחוצן יינשאו
קהל בגולה יופלאו
רינתם בצהל עת יגאו
הנה אלה מרחוק יבואו

שנותם כימי העץ להכין בשפר
שמותם להסיר מחפר
תוקף שלום עת יספר
הנה באתי במגילת ספר

ענייה אפודת רנן המשולש
בגיל שבת וחודש פולש

עניה גודר פרץ יצמח
דרישת נביא שמו צמח

עניה המונעמת שבעים שמות
וויעדם נצח נעימות

עניה זוהר אימרותיה זקוקים מנעמים
חישוב שבת וחודש מותאמים

עניה טכוסה 
ידידותיה ככלת נוהר

עניה כלולה 
לובבו בעשר מוקפות

עניה מוכנה מימות עולם
נהג אותותיה סדורים מעולם

עניה חקוקות
עוז נאות קודש לנקות

עניה פתחים להרביץ נאהבים
צמודים בשבעה זהבים

עניה קרואה בשם יוצר עולמות
רינון אבני פוך לכונן בנעימות

עניה אדיר בגבורה
תוקף שבת וחודש ננעים בתודה וקול זמרה

ארבע
כי תביע זמר להוציא נחמה

ותהיה חומה לאני חומה

גברו עליה ארבע על ארבע בערמה
עד תדוש ברזל לדוק

ותהיה חומת אש לבית יעקב אש

המו עליה כהמות ימים
עד תופיע ותשוב אליה ברחמים

ותהיה חומה לאני חומה

זרועה ככפלה מלכות כשדים
עד תחון עמך בצדק אבות החסידים

ותהיה חומת אש לבית יעקב אש

טולטלה חמשים ושתים במלכות מדיי
עד תזמן ישע מחמדיי

ותהיה חומה לאני חומה

כופלה למדיי מלכות פרס
עד תלווה לעמך וגאון צר תהרס

ותהיה חומת אש לבית יעקב אש

מלאות מאה ושמונים מלכה יוון
עד תנחם לעמך ותנקום 

ותהיה חומה לאני חומה

סוגרה מלכות מקדון
עד תעקור מכל גיא זדון

ותהיה חומת אש לבית יעקב אש

פוזרה תשע מאות שמונים ושש במלכות ישמעאל ואדום
עד תצדיק עמך דוד צח ואדום

ותהיה חומה לאני חומה

קדר כבודה בכפול מלכות ישמעאלים
עד תרחם עמך יונקים ועוללים

ותהיה חומת אש לבית יעקב אש

שלשים ושלוש וארבע מאות קץ הרס בעולם
עד עמך לשבור מוטות עולם

ותהיה חומה לאני חומה

ובכן הנה 
באבני אקדח
בבוהק בוחן
בגדרת גזית
בדפנות דביר
בהדר היכל
בוותק וועד
בזר זהב
בחוסן חופה
בטכס טיעות
ביסודות יקר
בכתר כבוד
בלוית לוחות
במוסר מוסד
בנעמת נואי
בששון ספיר
בעטרת עוז
בפקעי פוך
בציפוי צלעות
בקיבוע קליעה
בשלהבת שכינה
בתוקף תפארה

אשר עמו ידי
אותו באפדי
מלכות בכבודי
אוודע 
לעם ידידי
בראתי לכבודי
אקח מועדי
למלאך הודי
אעדך עדי
אל תפחדי
צדקי הגידי
נוראותי אל תכחדי
ובמקדישי שמי
",4111
VC47-D_5A780C68-A852-49B0-9BA3-9499CE63619E,וחיות ארבע עומסות,4,47,41,"וחיות ארבע עומסות כס בשמים
במכון כיסא בגובהי שמים 
גיה אש מתלקחת במתן שמים 
דמות חיות מתוכה בשמים
הנה כדמות אדם עומסות בשמים
ונראות כנושאות ונישאות עם שמים
זיו עין חשמל מתוך אש בשמים
חיות מארבעה פנים לכל אחד בשמים
טסה בארבע כנפיים לעופף בשמים
ישרה כף רגליהם מניין ישרה בשמים
ככף רגל עגל וכנחושת קלל נוצצים בשמים 
לא יסבו בלכתם מאימת רוכב שמים
מראיהם כגחלי אש וכלפידים בשמים
נוגה לאש בברקי שמים
סמוכות ברצוא ושוב כמראה הבזק בשמים
עימם האופנים ילכו בשמים
פניהם וכנפיהם פרודות בשמים
צל רקיע על ראשיהם מלמעלה בשמים
קול כנפיהם כקול שדי הנוטה כדוק שמים
רוננות בקדוש וברוך להודו בשמים
שדי אל עליון קונה שמים
תהילתו יתנו בהללו את יי מן השמים
פעל מאז אלה תולדות השמים
ניצב בעדת אל ומעלותיו בנה בשמים
חיילותיו מספרים כבודו בשמים
סובל כל ובזרתו תיכן שמים
לכן יברכוהו מלאכים ואופנים וחיות וכרובים לעומתם בשמים

ועמך תרגלתה בשם יעקב ישראל
שמה בלולב שמך אלוהי ישראל 
ראשית תבואתך קודש ישראל
קראת בני בכורי כי נער ישראל 
צעירים המליכוך ממקור ישראל 
פצתה להרים קרן לישראל 
עד לא עולם קודש ישראל 
שמחתה במעשיך ונמתה ישמח ישראל 
נושע תשועת עולמים ישראל 
מי כמוך ומי כעמך ישראל 
לולי בריתך לא שמתה חוקות ולולי ישראל 
כי אתה אלוהים בישראל 
יגל יעקב ישמח ישראל 
טובו אוהלי יעקב ומשכנות ישראל 
חקת מאז אשריך ישראל 
זה יקרא בשם יעקב וזה יכנה בשם ישראל 
ומשם רועה אבן ישראל 
הלא כי אב הייתה לישראל 
רוכב ערבות ויושב תהילות ישראל 
גם כי לעולם חסדו יאמר ישראל
 


",1388
VC47-D_2F0D4FD1-F4E5-4111-9421-F8E6651FBFE8,אנא צא לישעי,4,47,41,"אנא צא לישעי וקול תקע תפוצץ
צוה ישועתי ומחרכך הצץ
צרי ואויבי תקצץ
צרינו כאשר הוחלנו תרצץ
צדקותיך יתנו כקול מחצץ
ציון בעלות משמר הפיצץ

הפיצץ נצרת בשובבך להיכלך
ידעו הכל כי רב חילך
משמרת שמונה עשרה בשמחך תען לקהלך
מלאכיו יצוה לך ושלום יוסיף לך
",243
VC47-D_65AE2D20-157E-46F8-822B-E6F57790DB3C,‎⁨אורך הזהרת בחיבת⁩,4,47,41,"אורך הזהרת בחיבת
בלי לנחם אבלים בשבת
מזמור שיר ליום השבת

השבת געית אנונים להעביר ברציון
ניחומים להשמיע בצביון
כי ניחם יי ציון

גיליתי ניחומים לעם נגאלים
ויגון להסיר מגאולים
לנחם כל אבלים

אבלים פאר יעוטרו מלבזות
ניחומים להשמיע ובנעמך לחזות
חי סח אשרי אנוש יעשה זאת קדוש
",271
VC47-D_580C68E6-5206-4AFF-9AA4-DFC477328E6C,מלך פועל צדקה ומשפט,4,47,41,"מלך פועל צדקה ומשפט
יביא על כל נעלם במשפט
לאור יוציא משפט
ובין הגויים ישפוט
להורידם לעמק יהושפט
ויגבה יי צבאות במשפט

במשפט נשגב לובש צדקה
ועושה משפט וצדקה
ועמנו תעשה צדקה
כי לך יי הצדקה
צדקנו במשפט ונצטדקה
והאל הקדוש נקדש בצדקה

בצדקה חון על המוניך
היום באים לחלות פניך
ושופכים לבם לחנניך
ונכלמים אל תשיבם מלפניך
צדקם ביום שתדין דיניך
חסד ואמת יקדמו פניך

פניך סלסלו עם קראתה בכור
שבועת איתנים למו תזכור
בבואם אל הר המוריה תזכור
עקידת יצחק לזרעו תזכור
לרחמנו זכור תזכור
ברוגז רחם תזכור

תזכור היום הברית שכרתה לאיתניי
שמכם אעמיד כשמי מעוניי
וזרעכם לא ימוש מלפני
ארחמכם 
חסד
רחם ארחמנו נאום יי

יי כופר המציא לנו כמחתה מתלקחת
חטאינו השליך במצולה ותחת
שפטינו בנחת
ונהיה כשושנה נפקחת
סיחינו תרצה כמנחה מנותחת
ויחוננו ויאמר פדעהו מרדת שחת

שחת השחית עוונים
ימינו כעננים
בשופר תרועה מרננים
רנתם תשמע ממעונים
זכור רחמיך ביום דינים
כרחם אב על בנים

בנים נקראו חבצלת השרון
ביום זה עוברים כבנומרון
מהם הסיר אף וחרון
עקידת יצחק לפניך תרון
והיה היום לכם לזכרון

לזכרון חקק ממליך כל מלך
לפניו לא יתייצב מלך
זך עליון על כל מלך
גאות ילבש מסיר כל מלך
כי הוא מלך על כל מלך
נשוב בציון למלך
והיה יי למלך

מלך פועל כל בגדלו
שרפים עומדים ממעל לו

ימלוך יחיד ומיוחד
שש כנפים שש כנפים לאחד 

ימלוך נשגב בעוז שינוניו
בשתים יכסה פניו

ימלוך חי ברוב וגדליו
ובשתים יכסה רגליו

ימלוך סלסוליו בפי שרפים ירופף
ובשתים יעופף

ימלוך האל במחנות זה
וקרא זה אל זה

ימלוך כביר קדושתו תאמר
וקרא זה אל זה ואמר

ימלוך האל הנערץ בסוד קדושים שהוא קדוש
קדוש קדוש קדוש
 
ימלוך נקדש באראליו ועושה נפלאות
קדוש קדוש קדוש יי צבאות

ימלוך הדור בעוז הודו
מלא כל הארץ כבודו

כבודו יביעו תרשישים
זרותים כבודו מספרים ודורשים
כחשמל מתאששים
החיות ממוקומו מבקשים
אופן וגלגל רועשים
טפסרים וכרובים חשים
סולו מתלחשים
רינה רוחשים
ריבוא רבוון מקדישים
שרפים קדושה משלשים

",1712
VC47-D_F01E3C2D-BB03-469C-85B1-64BC442DD974,אפיריון תכונן ותפוצץ,4,47,41,"אפיריון תכונן ותפוצץ
בקול אשר פטיש מפוצץ
גדל משמר הפצץ
דגול עזור וסגב עם מתרוצץ

הושיענו בזה הזמן ובזה הקץ
וקרב שבועת ימין קץ
זכור משמר הפצץ
חבויי שאול בטל להקץ

טמאים כעקרב תעקץ
ישמעאלים ואדומים תשקץ
כונן משמר הפצץ
להקדישך כי לשנותיך אין קץ

משנאינו ראשם המחץ
נטה עליהם חנית וחץ
סמח משמר הפצץ
עושה שבת מצואה הרחץ

פרי ושורש בצרים תקצץ
צבוט עליהם אף וראשיהם הרצץ
קומם משמר הפצץ
רצינו כויוצא פרח ויצץ

שית ימינו כימי העץ
שמענו תשועה ברוב יועץ
תחיש משמר הפצץ
תמיד להודות לך ניוועץ

פינת יופי הרחץ
חירותינו שלח ולא נלחץ
סגב שמונה עשרה משמר הפצץ
חוסן ברכה ושלום לנו הפץ
",566
