id,name,user_id,corpus_id,genre_id,fulltext,length
VC26-CATMA_2E7A5121-973E-462F-8F10-4A0BE768447F,בחג הסוכות ,22,26,23,"בחג הסוכות סוככנו בצדק אבות ונהללך בסכות מערב ועד ערב
				
בחג הסוכות נשנן פלאיך ונהגה בעדותיך ונשיחה בחוקיך
			 
אשמחה לפניך בפרי עץ הדר כי לפניך עז הוד והדר
בכפות תמרים קרן לנו תרים ונלבישך כתרים עושה פלאים
במושב דפנות דור יראנו נוראות ובצרינו ישית מהומות 
ונביע שירות כעוברי תהומות

הלל ושמחה לאדון נפציחה כעוללים זר הוד נכתירה

נזמרך סלה כי אין כמוך מחיש גאלה לאם נדגלה

אדון לנצח תושיבנו בטח בסוכת שלם נחוג שלו

",432
VC26-CATMA_0FE7C155-A3D7-4E76-9D60-333DA824D961,אל תערוך דין,22,26,23,"אל תערוך דין חונן הכול עם זנב הכול 
אל תאתא בדין עם ילוד אישה כי לא יצדק 
אל תוכיחהו כי לא יענה אחת מאלף 

במעללי איש אל תתבונן כי עוול הוא 
במצעדי גבר אל תחפש שאין יושר במו 
בכליות ולב אל נא תחקור כי מליאות שווא 
 
גמול מעללינו אל נא תשלמינו כי חנון אתה 
גובה לבינו אל יכעיסוך כי חסיד אתה 
גם כל פשעינו אל יהיו לנגדך כי מעביר אתה 
 
דרך משפט אם לא תנוח מי יקום בזעם 
דין אם תפעל לא יותר שריד ופליט 
דם אם תדרוש מי יתייצב בחרון אפך 
 
הן חובת כפינו אל נא תכתוב כי נושא עוון 
הלוא אם תכתב מי יצדק ומי יזכה בשופטך חנון ורחום זכור רחמיך וכבוש כעסך 

ונבוא לייחלך בבושת פנים בכלימה וחרפה 
ונבטח בישעך כי לא הכלמתה למייחלים לשמך
ונהיה לפניך כתמימי דרך שלא חטאו 
 
זעם וחרון סבבו נפשנו אל תזנחינו
זנוח משטיננו והלבש כלימה למגידי פשעינו
זכור רחמיך כי הוא אחריתנו ואל תקנא בנו 
 
חרפונו אויבנו איה מלככם צור מעזכם 
הם לא ידעו כי עונותינו פעלו כל אלה 
השב ממנו חרון אף חונן דלים 
 
טינת ליבינו הסתירה ממנו לשמוע
טורח גזירות פעלו למעשינו השיבנו למענך 
טבענו בגזירות כשטופי ים ומושלכי שאול 
 
ידוע לפניך אחרית אדם כי הבל הוא
ימיו כצל שנותיו כצל עובר ואינם
ימיו ושנותיו הכול פחד ואנחה 
 
כארז לבנון יסגה בקומה ויתייצב בגאווה 
כבני עליון ירבה דעה ודובר בערמה 
כבודו לתאווה כבודו ישכח ומותו ישאל
",1224
VC26-CATMA_37D65E40-898B-4E10-92CE-507F9AC7F3B9,אשר ידו יסדה ארץ,22,26,23,"אשר ידו יסדה ארץ וימינו טפחה שמים
ברוח פיו קרא למים אל מקום אחד כולם עלו
גער בה ויתייצבו כמו חומה
דלתות לשמים עשה קנים וצוהר לתשמיש חמה
הוא הכין למטר נתיב ודרך לחזיז קולות
ומוציא נהרות ועיש על בניה
זיו שכינתו וכמראה הקשת בתוך הענן
חיות טהורות נושאות כס 

",264
VC26-CATMA_44449C07-C958-4375-AE6E-8578E1330373,אשרי עם מצפים לישועתך,22,26,23,"אשרי עם מצפים לישועתך

ברחמין תעורר ישני אדמה ותוריד על הארץ גשמי ברכה

גדודי מרום גאות יעטוך ועמוסי בטן עוז ילבישוך

דעת ישרה תבונן בליבנו שלא נוסר מפיקודיך

הכין ליבנו לעשות רצונך גוי צדיק שומר אמונים

וחטאות נעורים אל תזכור סלח לעונותינו

זכור תזכור וגאל בנים ותמהר להחזירנו

חלאי עמך מהרה תרפה ארוכה תעלה

טוב גשם תוריד השנה הזאת ובה נואל להודות לשמך

יעופו כעב נדחי עמך וכיונים אל ארובותם

כמשפט צדקך תרחם עדתך שפוט ביושר עני ואביון

מחה פושעים ואל תיתן לחלוקים תאוות ליבם

נצור לישרים חסד עמלם ושמח לב הנלווים עליך באמת

על ירושלים עירך ברחמים תשוב כיסא דוד בתוכה תכין

סדר תפילתנו והגיון ליבנו ואנקת נפשנו מהרה תשמע

פנה אל מזבחך בימינו פרים נשלם ואתה תרצה בעבודה

דורשיך יהללוך תמיד בכל עת בשפתיים ולשון בלב ובכליות

יברכינו יי אלוהינו שומרינו וחנינו ברכת שלומך אתה תשים עלינו 
",821
VC26-CATMA_14B879B5-B474-4C18-9C65-BE09F7BCFCC4,תקפו עלינו רעות,22,26,23,"תקפו עלינו רעות 
תלאות עברו ראשינו 
שיחרנו ישועה ואין 
שלום והנה קפדה 
 
רבו הקמים עלינו 
רמו וגם נשאו ראש 
קצנו בעול עליזים 
קשה עלינו סבלם 
 
צבי ארץ חנפה עלינו 
צמחה לא לברכה 
פנינו להרבה והנה מעט 
פח נפש בא באסמינו 
 
עשקו זיתים שמנם 
עשותם לא מלאו ספק 
סמדר אם ירבה כרם
סבאו לא ישפיע יקב 
 
נוארו איבי שדה 
נלקחו מטעמי אוכל 
ממכלאות עדרים דללו
מגז ומיץ והריון 
 
לזנב ולא לראש הושתנו 
לעבוט ולא הועבט לנו 
כוחינו לריק ובהלה 
כלה מבלי שכר 
יד כל עמל בכישרון 
ירדה ואין מחזיק
טולטלנו בארבע זוויות 
טמאים משלו בנו 

חלחלה אחזתנו 
חרפה שברה לבינו
זו עמו מלווה ולווה
זה בזה שולחו מעוני 

וכלאו יד מוצאי יד 
ועשיר לא חנן מך
הן ארץ נמכרה לרעים 
המון בה לא מצאו רוחה 
 
דביר אלוהינו שמם
דרכינו מיאנו להצליח 
גיל נווה שמחה נאסף 
גילה לליבנו איך תבוא 
 
באין ארוחת אב תמיד 
בכן בטן בנים תחסר 
אדון בית כאורח במלון 
איפה נמצא מנוח 
 
עד תגדור פרצת כרמך 
עד תחון שארית עמך
עד תפר מהם זעמך 
עד תשים להם שלומך
",959
VC26-CATMA_FA841777-2591-474C-A713-7D03EE3334DA,תעינו מאחוריך,22,26,23,"תעינו מאחוריך
שגגנו ממצוותיך
רוחקנו מבית חיינו
קלקלנו ארחות עולם
צעדינו לא יישרנו
פשענו לשם קודשך
עזבנו תורתך
סרנו מאמרי פיך
נאצנוך במעשה ידינו
מרינו ומרדנו בך
לא שמענו לדברי נביאך
כעסנוך ולא בקשנוך
יראתך מלב שכחנו
טהרתך במעשינו טמאנו
חטאנו לך יי אלוהינו
זעמנוך מרוב עונינו
ואמצנו את לבבנו
הקשינו את עורפינו
דברך אחור השלכנו
גדולתך לא הגדנו
ביתך נהרס בעוונינו 
איוויך נותץ בחטאנו



",408
VC26-CATMA_2A8AFCB7-0148-4CFC-B6F9-0BBD71DD0201,אשריך אהרן,22,26,23,"אשריך אהרן שזה כבודך 
בניך וצאצאיך משרתים לאל חי 
גדולתך גדולה עד מאד 
דברי חיים שנמסרו לך 
הנחילוך מחילה וסליחה 
ואתה מכפר על עדת קדושים 
זה הוא חלקך וכבודך 
חסד ורחמים שנטוי עליך 
טהרת קדושיך וניקוי ידידיך 
ידייך מרצות בינך לבין העם 
כתוב לך סדרי קרבן 
ללמדך בפירושי מנחה ונסך 
מפתח פיך ברכה לעמך 
ניב שפתיך תכפר עליהם 
שש אתה בנקוי ידידים 
עונותיהם אתה מכפר 
פשעי עם אתה מעביר 
צור עולמים משכים על ידיך 
קולך פותח שבעה רקיעים 
רם ונשא שכן עד 
שלום בצאתך שמחים עמך 
תהילה וזמרה אומרים למלכם 

",518
VC26-CATMA_D5D1CA9B-DE88-426D-B2B2-AA4EFE68E04D,ישמח משה במתנת חלקו,22,26,23,"ישמח משה במתנת חלקו כי עבד נאמן קראת לו
כליל תפארת בראשו נתת בעמידתו לפניך על הר סיני
שני לוחות אבנים הוריד בידו וכתוב בהם שמירת שבת

",138
VC26-CATMA_727BABC5-5444-4BCD-98A6-FD853EABAEE0,אשר בעוז הבדיל,22,26,23,"אשר בעוז הבדיל בין קודש לחול 
בתתו בתוך בדל מים ממים 
גבול רחב הבדיל מגבול רחבת 
דברו להבדיל נהרה מעממה 
השריץ והעיף הזחיל והרמיש 
והתווה והבדיל טהור מטמא 
זה יום אות נחת בדלו מששה 
חשקו לנחלה לעם בדולי מעממים 
טוב לנו החל ששת הימים הבאים 
יראי כל חטא דביקי כל צדק 
כורתי לנו ברית ועצת טוב יפרו וירבו בעצתם 
לנו תשמיע שכך ולנו יאתיו משוש ושמחה גיל ורנן וחיים ושלום 
ממעל עליון חון בית עליון נצח תן עליון לעם תתה עליון 

",434
VC26-CATMA_FC9DAC72-0AAF-4DE9-8B43-92AAE4E799DF,אל ברוך גדול דעה,22,26,23,"אל ברוך גדול דעה התקין ופעל זהרי חמה טוב יצר כבוד לשמו מאורות נתן סביבות עוזו פינות צבאיו קדושים רוממי שדי תמיד יספרו לאל קדושתו
",130
